dim,engine_count,chunk_size_bytes,n_nodes,iaa_submit_ns_median,iaa_wait_ns_median,iaa_check_ns_median,lz4_decompress_ns_median
2048,4,65536,16,10946,254864,254733,141801
2048,4,65536,32,21881,506264,506137,274816
2048,4,65536,64,43997,1007748,1007155,521079
2048,4,1048576,1,1114,1035700,1035654,217180
2048,4,1048576,2,2369,1035649,1035643,422550
2048,4,1048576,4,3888,1035648,1035686,811801
2048,4,1048576,8,6623,2068419,2068429,1602048
2048,4,1048576,16,12309,4133273,4133216,3266039
2048,4,1048576,32,23706,8262271,8262345,6499286
2048,4,1048576,64,46600,16520138,16520895,13089078
128,8,1024,1,758,1489,1479,518
128,8,1024,2,1393,1501,1474,913
128,8,1024,4,2637,1585,1554,1699
128,8,1024,8,5074,1510,1361,3256
128,8,1024,16,10483,1767,1724,6536
128,8,1024,32,20908,1661,1614,12712
128,8,1024,64,43799,1656,1709,24966
128,8,65536,1,769,17709,17651,9510
128,8,65536,2,1416,17705,17655,15282
128,8,65536,4,2668,17738,17670,28127
128,8,65536,8,5363,17772,17632,54944
128,8,65536,16,10718,30064,30034,109152
128,8,65536,32,21533,54217,54103,209525
128,8,65536,64,43715,101159,101109,418956
128,8,1048576,1,877,263506,263471,137613
128,8,1048576,2,1766,263479,263513,246136
128,8,1048576,4,3354,263494,263537,481357
128,8,1048576,8,6147,263575,263550,966124
128,8,1048576,16,11697,521526,521631,1942751
128,8,1048576,32,22306,1037031,1036969,3884568
128,8,1048576,64,44490,2066678,2066477,7873625
512,8,1024,1,757,2021,1995,1349
512,8,1024,2,1394,2016,1955,2430
512,8,1024,4,2648,2022,1973,4404
512,8,1024,8,5140,2044,1808,8355
512,8,1024,16,10447,2349,2272,16029
512,8,1024,32,21140,2192,2133,30176
512,8,1024,64,44104,2146,2059,54347
512,8,65536,1,805,33251,33206,128108
512,8,65536,2,1516,32921,32901,256119
512,8,65536,4,2818,33004,32906,511305
512,8,65536,8,5687,32998,32961,1022414
512,8,65536,16,11348,60635,60750,1970123
512,8,65536,32,21871,115626,115489,3851081
512,8,65536,64,44027,223856,223638,7191082
512,8,1048576,1,1088,500892,500787,1105528
512,8,1048576,2,2305,500907,500912,2209836
512,8,1048576,4,3888,500876,500935,4416933
512,8,1048576,8,6597,500980,500933,8816932
512,8,1048576,16,12150,996411,996405,17538027
512,8,1048576,32,23612,1985726,1986038,34429850
512,8,1048576,64,46770,3964073,3965115,68184071
2048,8,1024,1,757,2310,2285,330
2048,8,1024,2,1398,2308,2318,435
2048,8,1024,4,2652,2315,2261,753
2048,8,1024,8,5095,2309,2119,1308
2048,8,1024,16,10489,2419,2340,2631
2048,8,1024,32,21102,2471,2403,4837
2048,8,1024,64,44004,2439,2292,8865
2048,8,65536,1,824,65985,65966,11907
2048,8,65536,2,1476,66017,65974,20721
2048,8,65536,4,2819,66032,65992,37724
2048,8,65536,8,5599,66036,66024,73253
2048,8,65536,16,10922,126809,126745,141946
2048,8,65536,32,21894,247294,247185,273302
2048,8,65536,64,43962,487232,486643,520723
2048,8,1048576,1,1089,1035636,1035644,217688
2048,8,1048576,2,2285,1035638,1035659,421631
2048,8,1048576,4,3759,1035656,1035699,813399
2048,8,1048576,8,6440,1035681,1035573,1594780
2048,8,1048576,16,12122,2065871,2065785,3260606
2048,8,1048576,32,23567,4124830,4124857,6478098
2048,8,1048576,64,46682,8242207,8243245,13066277
